Data,total_tourist_transactions
2021-01-01,3940.8906690484855
2021-01-02,10316.487175493534
2021-01-03,6997.80692167578
2021-01-04,9629.410016432412
2021-01-05,10168.851943910335
2021-01-06,5752.281129493719
2021-01-07,8772.170378705576
2021-01-08,9647.859023262683
2021-01-09,6581.18834606402
2021-01-10,4976.0708572984395
2021-01-11,9322.285275506038
2021-01-12,8628.994614406456
2021-01-13,8863.308121783122
2021-01-14,9128.545533940585
2021-01-15,10333.471312212423
2021-01-16,9776.046443288298
2021-01-17,7113.501888241694
2021-01-18,9386.559908324678
2021-01-19,9559.918739563902
2021-01-20,9292.975111674366
2021-01-21,9964.089257494432
2021-01-22,10269.726646653704
2021-01-23,10185.968064980601
2021-01-24,7514.155416945124
2021-01-25,9438.460196614684
2021-01-26,9671.643724891423
2021-01-27,10036.501314936238
2021-01-28,10253.782310004297
2021-01-29,12099.026118178477
2021-01-30,11064.26471717034
2021-01-31,7549.229391891892
2021-02-01,10467.383586833288
2021-02-02,10236.697876854083
2021-02-03,10288.673769579402
2021-02-04,9817.066763871635
2021-02-05,11986.883837312444
2021-02-06,10740.416157917392
2021-02-07,6981.812566404097
2021-02-08,9528.943471456036
2021-02-09,10147.614833506052
2021-02-10,10358.890118581503
2021-02-11,11121.304267951746
2021-02-12,11843.992443605923
2021-02-13,11893.646027082928
2021-02-14,6902.309373311088
2021-02-15,10625.329337347252
2021-02-16,10559.87667450602
2021-02-17,11089.530227535064
2021-02-18,11073.25469893522
2021-02-19,12888.168828687696
2021-02-20,12082.867885083082
2021-02-21,7746.184615384613
2021-02-22,9786.983164386715
2021-02-23,11126.183793345135
2021-02-24,11387.343442718748
2021-02-25,11898.301800219318
2021-02-26,13504.133796429327
2021-02-27,13044.079765496186
2021-02-28,9066.348093480941
2021-03-01,11599.646915191433
2021-03-02,11391.365313653125
2021-03-03,11618.578118860894
2021-03-04,11599.985952590005
2021-03-05,13656.585776412296
2021-03-06,12511.789792300195
2021-03-07,8333.192558180892
2021-03-08,11901.120119908102
2021-03-09,11862.921503805637
2021-03-10,12173.674234547081
2021-03-11,12664.260700854282
2021-03-12,14397.687898923386
2021-03-13,14462.567390827784
2021-03-14,9516.385712979049
2021-03-15,13366.762678167253
2021-03-16,12814.113956194053
2021-03-17,13220.23801457056
2021-03-18,13019.06164510771
2021-03-19,14046.466973483946
2021-03-20,15438.046246482672
2021-03-21,10036.169162688739
2021-03-22,12215.572698016245
2021-03-23,12529.737185849533
2021-03-24,13229.399395306818
2021-03-25,13965.72760979227
2021-03-26,15462.870229207021
2021-03-27,15343.949079289849
2021-03-28,9796.63415863204
2021-03-29,13625.899284213176
2021-03-30,13378.50051958272
2021-03-31,13515.67236215969
2021-04-01,14383.906019363629
2021-04-02,12042.366764772467
2021-04-03,17842.637947888223
2021-04-04,11581.581989780436
2021-04-05,12003.190654939213
2021-04-06,15111.17817409726
2021-04-07,14290.995320686348
2021-04-08,15038.986662655434
2021-04-09,14875.21385440317
2021-04-10,14851.652440764366
2021-04-11,10009.876674207699
2021-04-12,14013.481065445212
2021-04-13,13621.935692122923
2021-04-14,14041.396318651181
2021-04-15,14210.146809001904
2021-04-16,15826.132920664035
2021-04-17,16489.92219548323
2021-04-18,11947.912906222664
2021-04-19,14102.908408680385
2021-04-20,13798.45540083375
2021-04-21,13782.602867153832
2021-04-22,14864.486430723766
2021-04-23,19291.624802773335
2021-04-24,18004.7536957758
2021-04-25,11673.854851779952
2021-04-26,13611.345014565168
2021-04-27,14479.042694270147
2021-04-28,14605.70802512349
2021-04-29,14902.07638804605
2021-04-30,17421.558932104785
2021-05-01,14085.744811907658
2021-05-02,12278.942346823425
2021-05-03,16222.846972943084
2021-05-04,15381.720825819733
2021-05-05,15058.782478503703
2021-05-06,15912.648313440359
2021-05-07,18167.98106615801
2021-05-08,20009.501175579644
2021-05-09,14331.169776441728
2021-05-10,17617.2596315862
2021-05-11,17636.008468941225
2021-05-12,19014.24694258771
2021-05-13,24270.245505285628
2021-05-14,28547.956499638014
2021-05-15,28780.006283567625
2021-05-16,18362.959420188385
2021-05-17,18991.595932684842
2021-05-18,17944.20915491655
2021-05-19,18657.876302172204
2021-05-20,19983.71660754313
2021-05-21,24001.12361741821
2021-05-22,27232.653696516518
2021-05-23,19777.95641300468
2021-05-24,19527.663182183616
2021-05-25,20513.09364922673
2021-05-26,20220.342591980232
2021-05-27,20708.302743803615
2021-05-28,24973.321627606576
2021-05-29,25726.917939613468
2021-05-30,18218.329470252127
2021-05-31,19904.789939491286
2021-06-01,18432.748435996138
2021-06-02,20501.59498562258
2021-06-03,22250.991136721557
2021-06-04,25857.800841162327
2021-06-05,28174.761042508864
2021-06-06,20513.25155583395
2021-06-07,22375.00725812014
2021-06-08,21983.884773662558
2021-06-09,22409.9093392863
2021-06-10,24537.307347939553
2021-06-11,27959.46225057022
2021-06-12,30325.89270245678
2021-06-13,23306.573827096145
2021-06-14,25260.926182923056
2021-06-15,24290.146877097064
2021-06-16,24857.694849123945
2021-06-17,25847.45874132796
2021-06-18,29669.189284871354
2021-06-19,31840.731597320828
2021-06-20,25025.186664687735
2021-06-21,27053.120712147014
2021-06-22,26255.071690264413
2021-06-23,28265.067695562466
2021-06-24,23980.119733758365
2021-06-25,32718.60404852848
2021-06-26,34499.565563394826
2021-06-27,29347.496895621298
2021-06-28,31605.37337135372
2021-06-29,29728.602253621906
2021-06-30,30010.20304106486
2021-07-01,31798.787708094842
2021-07-02,36813.643433925135
2021-07-03,38455.53416611519
2021-07-04,32204.279406994418
2021-07-05,35239.941570716604
2021-07-06,33610.89802205062
2021-07-07,35674.41162636044
2021-07-08,36772.203706768814
2021-07-09,41549.54495024153
2021-07-10,42547.01957584947
2021-07-11,33972.06955659438
2021-07-12,38785.51915093926
2021-07-13,37071.27709659945
2021-07-14,38632.710888809284
2021-07-15,40348.3359758959
2021-07-16,43294.36249533373
2021-07-17,43614.88439810371
2021-07-18,35571.3048315917
2021-07-19,41761.19773623371
2021-07-20,39388.516794312236
2021-07-21,40145.284573069985
2021-07-22,41397.64961308756
2021-07-23,44221.292546351135
2021-07-24,44555.028934838345
2021-07-25,35916.88359060229
2021-07-26,42465.15839952759
2021-07-27,39742.47937418506
2021-07-28,39946.221507777576
2021-07-29,41839.101556919275
2021-07-30,44364.59866595876
2021-07-31,42932.53045695886
2021-08-01,37164.14728063174
2021-08-02,43863.20179372182
2021-08-03,43073.305909562165
2021-08-04,46101.45426213133
2021-08-05,46495.53134917422
2021-08-06,49860.27114579882
2021-08-07,50564.1157100536
2021-08-08,42578.33685921422
2021-08-09,49939.84075589475
2021-08-10,49013.831293427975
2021-08-11,48676.18168814171
2021-08-12,49444.211671983394
2021-08-13,52615.52859102888
2021-08-14,53736.54140774727
2021-08-15,44929.09670139187
2021-08-16,51102.9176118743
2021-08-17,49600.68767370374
2021-08-18,49077.58326261468
2021-08-19,52146.88622877255
2021-08-20,51718.49486681085
2021-08-21,52118.817616660184
2021-08-22,41828.01505152779
2021-08-23,46716.095288664736
2021-08-24,44707.10089748603
2021-08-25,43988.15522549954
2021-08-26,44118.284218090055
2021-08-27,47826.27554681161
2021-08-28,47633.6592753655
2021-08-29,37778.42843187184
2021-08-30,38553.03577276987
2021-08-31,35462.47770115972
2021-09-01,35856.265902510604
2021-09-02,38422.92531734278
2021-09-03,42686.71763812823
2021-09-04,46246.62337314996
2021-09-05,37121.599065461996
2021-09-06,40445.71516888893
2021-09-07,39216.32624479816
2021-09-08,39517.48884300371
2021-09-09,42097.09936332174
2021-09-10,46683.05394815493
2021-09-11,44009.42833810647
2021-09-12,39243.57269751043
2021-09-13,41528.13858053251
2021-09-14,40170.54362379018
2021-09-15,40331.52032106914
2021-09-16,43422.22692682103
2021-09-17,46701.503341445765
2021-09-18,47431.763116938324
2021-09-19,39356.66372438518
2021-09-20,40227.0839929736
2021-09-21,39208.46901393254
2021-09-22,39079.20745354845
2021-09-23,42573.746656014875
2021-09-24,43610.280185375996
2021-09-25,54162.72585180876
2021-09-26,42116.94562549683
2021-09-27,43332.44286647283
2021-09-28,39093.809370672054
2021-09-29,38140.39583010148
2021-09-30,41734.242300492195
2021-10-01,48147.0377066737
2021-10-02,52182.06145017495
2021-10-03,41609.18107383125
2021-10-04,39761.25507653408
2021-10-05,37977.19571051646
2021-10-06,37927.276444209965
2021-10-07,40695.88182728209
2021-10-08,46485.563271038736
2021-10-09,51263.473014577634
2021-10-10,41022.5833110823
2021-10-11,43091.418102241725
2021-10-12,33004.86632073133
2021-10-13,39398.53525845384
2021-10-14,40921.81513642998
2021-10-15,47102.884375725895
2021-10-16,53238.838789858666
2021-10-17,42989.18856836614
2021-10-18,44749.48601651414
2021-10-19,42843.53262060119
2021-10-20,43318.192225876584
2021-10-21,45933.0626221697
2021-10-22,50782.18580837843
2021-10-23,56383.73438407288
2021-10-24,47634.34110627437
2021-10-25,47420.42288566876
2021-10-26,44398.617762538444
2021-10-27,43886.575349373714
2021-10-28,47569.5682537925
2021-10-29,52549.26946900881
2021-10-30,58554.39690256478
2021-10-31,53661.30155135873
2021-11-01,45020.04834205142
2021-11-02,45053.8095122098
2021-11-03,43016.21947308283
2021-11-04,44551.60598267443
2021-11-05,49757.99983533162
2021-11-06,54653.51503261566
2021-11-07,41242.01731999669
2021-11-08,40582.78542116672
2021-11-09,36406.22703116331
2021-11-10,35975.30754315155
2021-11-11,44456.0483059574
2021-11-12,51195.522382880066
2021-11-13,57461.05413663667
2021-11-14,41194.30122342896
2021-11-15,38341.86392180633
2021-11-16,34650.35805911881
2021-11-17,35435.51215973155
2021-11-18,38663.984205265166
2021-11-19,45241.79828293749
2021-11-20,51576.63316454213
2021-11-21,39710.13631345898
2021-11-22,36872.61114699455
2021-11-23,32517.23835089053
2021-11-24,34318.90331853245
2021-11-25,36211.797518005274
2021-11-26,45843.429641955125
2021-11-27,50758.02536464087
2021-11-28,39223.92693458064
2021-11-29,35347.74985642269
2021-11-30,31246.30848506921
2021-12-01,30534.961935745367
2021-12-02,31687.49786053991
2021-12-03,36885.82540442111
2021-12-04,43833.88045919044
2021-12-05,36516.4120182831
2021-12-06,30891.39620433533
2021-12-07,31064.118241528795
2021-12-08,25386.818198852987
2021-12-09,29277.28841507869
2021-12-10,34569.77166855579
2021-12-11,40209.93594073429
2021-12-12,30554.575094506126
2021-12-13,29148.11545310421
2021-12-14,27831.218373361477
2021-12-15,29809.82850538691
2021-12-16,31512.063614390194
2021-12-17,36340.565322987175
2021-12-18,40762.47944207477
2021-12-19,32669.12256054732
2021-12-20,34126.047931835164
2021-12-21,33083.62451575909
2021-12-22,31780.808420753325
2021-12-23,34104.109531931004
2021-12-24,32158.18524133051
2021-12-25,18267.367322033868
2021-12-26,24540.154869775375
2021-12-27,37677.60059333849
2021-12-28,40444.64002347038
2021-12-29,43220.39705458825
2021-12-30,47664.083628463784
2021-12-31,50232.9838071274
2022-01-01,32286.931054536115
2022-01-02,36191.99255460258
2022-01-03,38165.04384919885
2022-01-04,34971.89255731925
2022-01-05,33409.40659369411
2022-01-06,24160.59636648086
2022-01-07,34862.33919151734
2022-01-08,33400.75598340911
2022-01-09,25370.304382779563
2022-01-10,26698.901072441884
2022-01-11,26616.03652913025
2022-01-12,26436.407011447594
2022-01-13,27751.679786823377
2022-01-14,31361.289879702264
2022-01-15,34131.16241248432
2022-01-16,25182.019230769183
2022-01-17,27994.84631758375
2022-01-18,26464.403899931982
2022-01-19,26808.68939129557
2022-01-20,28596.405716810845
2022-01-21,32357.654990076233
2022-01-22,36243.77284724701
2022-01-23,26946.735701997077
2022-01-24,28828.213633296215
2022-01-25,27269.593473509565
2022-01-26,28717.30732341839
2022-01-27,30811.389052650124
2022-01-28,35660.02248651502
2022-01-29,39724.89923678872
2022-01-30,30015.050411150107
2022-01-31,30935.0288773919
2022-02-01,29809.08014457454
2022-02-02,30799.303689936878
2022-02-03,32280.691884368247
2022-02-04,37933.26330732214
2022-02-05,43183.00282698764
2022-02-06,34878.244300048405
2022-02-07,35858.460218260276
2022-02-08,32805.15909917734
2022-02-09,34270.28303588908
2022-02-10,36259.57758131901
2022-02-11,42993.58852816062
2022-02-12,48444.60220851328
2022-02-13,39002.114185562314
2022-02-14,41453.63641450946
2022-02-15,39237.70587007685
2022-02-16,38941.11759094303
2022-02-17,43118.9295181327
2022-02-18,48778.62687180693
2022-02-19,52229.03165070306
2022-02-20,43640.435673624335
2022-02-21,43391.329208670526
2022-02-22,41856.617567089714
2022-02-23,42351.54351682721
2022-02-24,44463.00014738962
2022-02-25,49459.00964275449
2022-02-26,56163.95094599599
2022-02-27,47911.757827509304
2022-02-28,46805.21325687349
2022-03-01,44311.5970491423
2022-03-02,44978.90005832328
2022-03-03,49332.07453292102
2022-03-04,55706.27329559944
2022-03-05,63274.6048699232
2022-03-06,44903.640865291134
2022-03-07,42357.67872586307
2022-03-08,39420.62729842498
2022-03-09,40843.49198082412
2022-03-10,44896.973523205175
2022-03-11,51459.731123673904
2022-03-12,57575.203216565584
2022-03-13,48200.82632913734
2022-03-14,44798.138463296906
2022-03-15,40271.444831928144
2022-03-16,41501.97844684071
2022-03-17,45490.31873423547
2022-03-18,51769.464964342034
2022-03-19,57825.79407266721
2022-03-20,46862.007199878535
2022-03-21,45807.564062555386
2022-03-22,43794.44348491345
2022-03-23,44155.483665966065
2022-03-24,47617.39015079136
2022-03-25,56684.78864214961
2022-03-26,62517.773781474236
2022-03-27,51146.9329636893
2022-03-28,50698.16373839505
2022-03-29,46973.46279660004
2022-03-30,46276.38922787492
2022-03-31,51673.040230023245
2022-04-01,60323.37123744815
2022-04-02,68549.46662321141
2022-04-03,54371.67237379248
2022-04-04,54663.697785976736
2022-04-05,51014.69270614113
2022-04-06,51995.1061671597
2022-04-07,56145.873066277105
2022-04-08,61731.02461717524
2022-04-09,66585.1871401593
2022-04-10,56696.1266002217
2022-04-11,58433.11031303692
2022-04-12,53671.38369691966
2022-04-13,52395.8961327496
2022-04-14,63867.38045519727
2022-04-15,63679.173901321075
2022-04-16,78152.1776458586
2022-04-17,63756.0359633828
2022-04-18,57204.65469197702
2022-04-19,58272.25570712956
2022-04-20,54458.557600026164
2022-04-21,55804.369745369295
2022-04-22,70908.4216249946
2022-04-23,73539.87604625332
2022-04-24,64816.92521752568
2022-04-25,64602.84593113672
2022-04-26,60193.702752807876
2022-04-27,61087.138973063295
2022-04-28,65925.61296582971
2022-04-29,73353.35062375251
2022-04-30,77024.47220535792
2022-05-01,67334.43318375517
2022-05-02,63252.645496289086
2022-05-03,58741.46305973752
2022-05-04,57653.56145068876
2022-05-05,64030.45628372185
2022-05-06,76177.99007629753
2022-05-07,81526.1168436163
2022-05-08,66404.21512675713
2022-05-09,63821.34724049055
2022-05-10,61334.83260449615
2022-05-11,64024.56870193061
2022-05-12,67793.03354299016
2022-05-13,76674.8213790017
2022-05-14,83121.23840139234
2022-05-15,67459.20155410454
2022-05-16,63095.903664059384
2022-05-17,59351.19841126909
2022-05-18,61862.17442610348
2022-05-19,67956.02905340618
2022-05-20,76934.25090553463
2022-05-21,82215.2704841305
2022-05-22,70057.29003587882
2022-05-23,75135.09591250186
2022-05-24,63586.546592499195
2022-05-25,68243.88028063613
2022-05-26,78154.06500827605
2022-05-27,86404.1156495012
2022-05-28,87511.35639081636
2022-05-29,70651.66704486465
2022-05-30,69740.55990765829
2022-05-31,69002.92943993647
2022-06-01,76967.1353238581
2022-06-02,82479.99905765001
2022-06-03,88699.21812651248
2022-06-04,95094.677187863
2022-06-05,90572.37420315907
2022-06-06,95499.45953827577
2022-06-07,94533.47124705337
2022-06-08,97063.54348251116
2022-06-09,93267.66133722157
2022-06-10,90686.41975719902
2022-06-11,93691.98599224932
2022-06-12,84557.87223543032
2022-06-13,85527.99731753685
2022-06-14,73935.01945907697
2022-06-15,73660.6295017791
2022-06-16,78944.15059153954
2022-06-17,87291.46227815982
2022-06-18,87274.77856514955
2022-06-19,75499.10105810984
2022-06-20,76270.45364781997
2022-06-21,70916.63749116483
2022-06-22,69271.23675265005
2022-06-23,76200.37793677286
2022-06-24,69143.7447905008
2022-06-25,82527.54092400396
2022-06-26,73421.47334673218
2022-06-27,73030.16635004272
