"Data","Series 1"
"2018-01-01 00:00:00",61688
"2018-01-02 00:00:00",230257
"2018-01-03 00:00:00",244601
"2018-01-04 00:00:00",269666
"2018-01-05 00:00:00",302332
"2018-01-06 00:00:00",79850
"2018-01-07 00:00:00",138034
"2018-01-08 00:00:00",220621
"2018-01-09 00:00:00",210160
"2018-01-10 00:00:00",210575
"2018-01-11 00:00:00",213653
"2018-01-12 00:00:00",242684
"2018-01-13 00:00:00",247893
"2018-01-14 00:00:00",91861
"2018-01-15 00:00:00",200675
"2018-01-16 00:00:00",199462
"2018-01-17 00:00:00",201899
"2018-01-18 00:00:00",209200
"2018-01-19 00:00:00",237111
"2018-01-20 00:00:00",239842
"2018-01-21 00:00:00",92235
"2018-01-22 00:00:00",196603
"2018-01-23 00:00:00",197597
"2018-01-24 00:00:00",199187
"2018-01-25 00:00:00",210825
"2018-01-26 00:00:00",211490
"2018-01-27 00:00:00",242709
"2018-01-28 00:00:00",94333
"2018-01-29 00:00:00",199926
"2018-01-30 00:00:00",207390
"2018-01-31 00:00:00",216591
"2018-02-01 00:00:00",209337
"2018-02-02 00:00:00",254407
"2018-02-03 00:00:00",247726
"2018-02-04 00:00:00",83631
"2018-02-05 00:00:00",185990
"2018-02-06 00:00:00",210615
"2018-02-07 00:00:00",217761
"2018-02-08 00:00:00",213224
"2018-02-09 00:00:00",247246
"2018-02-10 00:00:00",238237
"2018-02-11 00:00:00",98676
"2018-02-12 00:00:00",191549
"2018-02-13 00:00:00",215466
"2018-02-14 00:00:00",228689
"2018-02-15 00:00:00",219011
"2018-02-16 00:00:00",242108
"2018-02-17 00:00:00",232788
"2018-02-18 00:00:00",98950
"2018-02-19 00:00:00",199575
"2018-02-20 00:00:00",203735
"2018-02-21 00:00:00",205714
"2018-02-22 00:00:00",214358
"2018-02-23 00:00:00",244392
"2018-02-24 00:00:00",234794
"2018-02-25 00:00:00",104987
"2018-02-26 00:00:00",206683
"2018-02-27 00:00:00",210316
"2018-02-28 00:00:00",204140
"2018-03-01 00:00:00",236134
"2018-03-02 00:00:00",263451
"2018-03-03 00:00:00",255901
"2018-03-04 00:00:00",105780
"2018-03-05 00:00:00",209416
"2018-03-06 00:00:00",216180
"2018-03-07 00:00:00",220121
"2018-03-08 00:00:00",215479
"2018-03-09 00:00:00",258289
"2018-03-10 00:00:00",247969
"2018-03-11 00:00:00",103480
"2018-03-12 00:00:00",211891
"2018-03-13 00:00:00",212789
"2018-03-14 00:00:00",220552
"2018-03-15 00:00:00",228177
"2018-03-16 00:00:00",257887
"2018-03-17 00:00:00",239809
"2018-03-18 00:00:00",104881
"2018-03-19 00:00:00",214048
"2018-03-20 00:00:00",206813
"2018-03-21 00:00:00",214853
"2018-03-22 00:00:00",225719
"2018-03-23 00:00:00",250199
"2018-03-24 00:00:00",194904
"2018-03-25 00:00:00",94294
"2018-03-26 00:00:00",206091
"2018-03-27 00:00:00",217438
"2018-03-28 00:00:00",227889
"2018-03-29 00:00:00",239359
"2018-03-30 00:00:00",94487
"2018-03-31 00:00:00",191316
"2018-04-01 00:00:00",92444
"2018-04-02 00:00:00",92950
"2018-04-03 00:00:00",233956
"2018-04-04 00:00:00",228224
"2018-04-05 00:00:00",236858
"2018-04-06 00:00:00",260740
"2018-04-07 00:00:00",256214
"2018-04-08 00:00:00",100636
"2018-04-09 00:00:00",218338
"2018-04-10 00:00:00",222137
"2018-04-11 00:00:00",219284
"2018-04-12 00:00:00",235770
"2018-04-13 00:00:00",254612
"2018-04-14 00:00:00",248442
"2018-04-15 00:00:00",126247
"2018-04-16 00:00:00",215515
"2018-04-17 00:00:00",228788
"2018-04-18 00:00:00",232984
"2018-04-19 00:00:00",242658
"2018-04-20 00:00:00",273842
"2018-04-21 00:00:00",266040
"2018-04-22 00:00:00",113918
"2018-04-23 00:00:00",261876
"2018-04-24 00:00:00",227881
"2018-04-25 00:00:00",235948
"2018-04-26 00:00:00",247048
"2018-04-27 00:00:00",277573
"2018-04-28 00:00:00",261944
"2018-04-29 00:00:00",105563
"2018-04-30 00:00:00",257781
"2018-05-01 00:00:00",99800
"2018-05-02 00:00:00",250571
"2018-05-03 00:00:00",242518
"2018-05-04 00:00:00",276901
"2018-05-05 00:00:00",272463
"2018-05-06 00:00:00",128568
"2018-05-07 00:00:00",233806
"2018-05-08 00:00:00",236460
"2018-05-09 00:00:00",245644
"2018-05-10 00:00:00",257962
"2018-05-11 00:00:00",287555
"2018-05-12 00:00:00",258710
"2018-05-13 00:00:00",114871
"2018-05-14 00:00:00",232026
"2018-05-15 00:00:00",231978
"2018-05-16 00:00:00",235969
"2018-05-17 00:00:00",244257
"2018-05-18 00:00:00",267967
"2018-05-19 00:00:00",247112
"2018-05-20 00:00:00",117650
"2018-05-21 00:00:00",105807
"2018-05-22 00:00:00",244910
"2018-05-23 00:00:00",239813
"2018-05-24 00:00:00",248032
"2018-05-25 00:00:00",269210
"2018-05-26 00:00:00",251437
"2018-05-27 00:00:00",111682
"2018-05-28 00:00:00",224502
"2018-05-29 00:00:00",233503
"2018-05-30 00:00:00",246028
"2018-05-31 00:00:00",261077
"2018-06-01 00:00:00",286397
"2018-06-02 00:00:00",271620
"2018-06-03 00:00:00",110606
"2018-06-04 00:00:00",241964
"2018-06-05 00:00:00",239400
"2018-06-06 00:00:00",236954
"2018-06-07 00:00:00",248001
"2018-06-08 00:00:00",278448
"2018-06-09 00:00:00",261620
"2018-06-10 00:00:00",120781
"2018-06-11 00:00:00",244461
"2018-06-12 00:00:00",242866
"2018-06-13 00:00:00",249605
"2018-06-14 00:00:00",257786
"2018-06-15 00:00:00",281040
"2018-06-16 00:00:00",262466
"2018-06-17 00:00:00",118308
"2018-06-18 00:00:00",247940
"2018-06-19 00:00:00",247362
"2018-06-20 00:00:00",250930
"2018-06-21 00:00:00",263918
"2018-06-22 00:00:00",279017
"2018-06-23 00:00:00",233873
"2018-06-24 00:00:00",91183
"2018-06-25 00:00:00",239485
"2018-06-26 00:00:00",243399
"2018-06-27 00:00:00",248698
"2018-06-28 00:00:00",256715
"2018-06-29 00:00:00",309385
"2018-06-30 00:00:00",272113
"2018-07-01 00:00:00",162863
"2018-07-02 00:00:00",276461
"2018-07-03 00:00:00",268547
"2018-07-04 00:00:00",271778
"2018-07-05 00:00:00",274418
"2018-07-06 00:00:00",283452
"2018-07-07 00:00:00",253738
"2018-07-08 00:00:00",116519
"2018-07-09 00:00:00",259121
"2018-07-10 00:00:00",260585
"2018-07-11 00:00:00",262391
"2018-07-12 00:00:00",267430
"2018-07-13 00:00:00",276994
"2018-07-14 00:00:00",242457
"2018-07-15 00:00:00",113592
"2018-07-16 00:00:00",245251
"2018-07-17 00:00:00",248041
"2018-07-18 00:00:00",249803
"2018-07-19 00:00:00",253711
"2018-07-20 00:00:00",262612
"2018-07-21 00:00:00",228205
"2018-07-22 00:00:00",109201
"2018-07-23 00:00:00",235984
"2018-07-24 00:00:00",235417
"2018-07-25 00:00:00",241662
"2018-07-26 00:00:00",244744
"2018-07-27 00:00:00",254326
"2018-07-28 00:00:00",221581
"2018-07-29 00:00:00",105343
"2018-07-30 00:00:00",236876
"2018-07-31 00:00:00",238758
"2018-08-01 00:00:00",233959
"2018-08-02 00:00:00",234730
"2018-08-03 00:00:00",238486
"2018-08-04 00:00:00",200956
"2018-08-05 00:00:00",102285
"2018-08-06 00:00:00",203887
"2018-08-07 00:00:00",198522
"2018-08-08 00:00:00",197718
"2018-08-09 00:00:00",193986
"2018-08-10 00:00:00",205694
"2018-08-11 00:00:00",175030
"2018-08-12 00:00:00",96221
"2018-08-13 00:00:00",184319
"2018-08-14 00:00:00",185311
"2018-08-15 00:00:00",102905
"2018-08-16 00:00:00",184291
"2018-08-17 00:00:00",168751
"2018-08-18 00:00:00",171776
"2018-08-19 00:00:00",95489
"2018-08-20 00:00:00",177407
"2018-08-21 00:00:00",169323
"2018-08-22 00:00:00",169575
"2018-08-23 00:00:00",169507
"2018-08-24 00:00:00",182280
"2018-08-25 00:00:00",171163
"2018-08-26 00:00:00",92977
"2018-08-27 00:00:00",191732
"2018-08-28 00:00:00",189218
"2018-08-29 00:00:00",196005
"2018-08-30 00:00:00",207792
"2018-08-31 00:00:00",224809
"2018-09-01 00:00:00",212034
"2018-09-02 00:00:00",112256
"2018-09-03 00:00:00",229395
"2018-09-04 00:00:00",227595
"2018-09-05 00:00:00",228159
"2018-09-06 00:00:00",226991
"2018-09-07 00:00:00",252718
"2018-09-08 00:00:00",224753
"2018-09-09 00:00:00",106722
"2018-09-10 00:00:00",252052
"2018-09-11 00:00:00",121453
"2018-09-12 00:00:00",233895
"2018-09-13 00:00:00",250411
"2018-09-14 00:00:00",266301
"2018-09-15 00:00:00",247586
"2018-09-16 00:00:00",117302
"2018-09-17 00:00:00",236826
"2018-09-18 00:00:00",226346
"2018-09-19 00:00:00",237593
"2018-09-20 00:00:00",244242
"2018-09-21 00:00:00",267278
"2018-09-22 00:00:00",247603
"2018-09-23 00:00:00",123442
"2018-09-24 00:00:00",110832
"2018-09-25 00:00:00",250368
"2018-09-26 00:00:00",241599
"2018-09-27 00:00:00",251981
"2018-09-28 00:00:00",287356
"2018-09-29 00:00:00",276159
"2018-09-30 00:00:00",128992
"2018-10-01 00:00:00",241682
"2018-10-02 00:00:00",248612
"2018-10-03 00:00:00",250339
"2018-10-04 00:00:00",258644
"2018-10-05 00:00:00",288371
"2018-10-06 00:00:00",283260
"2018-10-07 00:00:00",129178
"2018-10-08 00:00:00",242391
"2018-10-09 00:00:00",232703
"2018-10-10 00:00:00",252871
"2018-10-11 00:00:00",291008
"2018-10-12 00:00:00",169088
"2018-10-13 00:00:00",251311
"2018-10-14 00:00:00",116538
"2018-10-15 00:00:00",238702
"2018-10-16 00:00:00",239989
"2018-10-17 00:00:00",242177
"2018-10-18 00:00:00",243798
"2018-10-19 00:00:00",269800
"2018-10-20 00:00:00",284182
"2018-10-21 00:00:00",127724
"2018-10-22 00:00:00",234285
"2018-10-23 00:00:00",238682
"2018-10-24 00:00:00",241986
"2018-10-25 00:00:00",257119
"2018-10-26 00:00:00",289377
"2018-10-27 00:00:00",255426
"2018-10-28 00:00:00",121389
"2018-10-29 00:00:00",254484
"2018-10-30 00:00:00",267776
"2018-10-31 00:00:00",279987
"2018-11-01 00:00:00",177267
"2018-11-02 00:00:00",298543
"2018-11-03 00:00:00",263591
"2018-11-04 00:00:00",120577
"2018-11-05 00:00:00",231884
"2018-11-06 00:00:00",248669
"2018-11-07 00:00:00",250363
"2018-11-08 00:00:00",256925
"2018-11-09 00:00:00",285247
"2018-11-10 00:00:00",295061
"2018-11-11 00:00:00",127701
"2018-11-12 00:00:00",237252
"2018-11-13 00:00:00",241041
"2018-11-14 00:00:00",245889
"2018-11-15 00:00:00",216147
"2018-11-16 00:00:00",288995
"2018-11-17 00:00:00",275601
"2018-11-18 00:00:00",110153
"2018-11-19 00:00:00",234922
"2018-11-20 00:00:00",230408
"2018-11-21 00:00:00",244893
"2018-11-22 00:00:00",258708
"2018-11-23 00:00:00",330026
"2018-11-24 00:00:00",305506
"2018-11-25 00:00:00",161172
"2018-11-26 00:00:00",232466
"2018-11-27 00:00:00",244456
"2018-11-28 00:00:00",252961
"2018-11-29 00:00:00",267783
"2018-11-30 00:00:00",307466
"2018-12-01 00:00:00",311311
"2018-12-02 00:00:00",139073
"2018-12-03 00:00:00",256439
"2018-12-04 00:00:00",261398
"2018-12-05 00:00:00",292109
"2018-12-06 00:00:00",198313
"2018-12-07 00:00:00",298147
"2018-12-08 00:00:00",219335
"2018-12-09 00:00:00",122100
"2018-12-10 00:00:00",265506
"2018-12-11 00:00:00",268468
"2018-12-12 00:00:00",271324
"2018-12-13 00:00:00",271536
"2018-12-14 00:00:00",316443
"2018-12-15 00:00:00",331848
"2018-12-16 00:00:00",182314
"2018-12-17 00:00:00",277820
"2018-12-18 00:00:00",289146
"2018-12-19 00:00:00",301349
"2018-12-20 00:00:00",318131
"2018-12-21 00:00:00",307929
"2018-12-22 00:00:00",343572
"2018-12-23 00:00:00",233329
"2018-12-24 00:00:00",318882
"2018-12-25 00:00:00",57177
"2018-12-26 00:00:00",80933
"2018-12-27 00:00:00",258779
"2018-12-28 00:00:00",272793
"2018-12-29 00:00:00",264766
"2018-12-30 00:00:00",173124
"2018-12-31 00:00:00",268672
"2019-01-01 00:00:00",79688
"2019-01-02 00:00:00",268359
"2019-01-03 00:00:00",289330
"2019-01-04 00:00:00",325349
"2019-01-05 00:00:00",307256
"2019-01-06 00:00:00",94211
"2019-01-07 00:00:00",257240
"2019-01-08 00:00:00",241831
"2019-01-09 00:00:00",241709
"2019-01-10 00:00:00",250355
"2019-01-11 00:00:00",283457
"2019-01-12 00:00:00",292569
"2019-01-13 00:00:00",154630
"2019-01-14 00:00:00",237104
"2019-01-15 00:00:00",235133
"2019-01-16 00:00:00",238684
"2019-01-17 00:00:00",246456
"2019-01-18 00:00:00",275998
"2019-01-19 00:00:00",269937
"2019-01-20 00:00:00",107038
"2019-01-21 00:00:00",226598
"2019-01-22 00:00:00",226776
"2019-01-23 00:00:00",228619
"2019-01-24 00:00:00",240005
"2019-01-25 00:00:00",282693
"2019-01-26 00:00:00",278137
"2019-01-27 00:00:00",120422
"2019-01-28 00:00:00",233147
"2019-01-29 00:00:00",237442
"2019-01-30 00:00:00",250117
"2019-01-31 00:00:00",262828
"2019-02-01 00:00:00",294521
"2019-02-02 00:00:00",286763
"2019-02-03 00:00:00",132916
"2019-02-04 00:00:00",243778
"2019-02-05 00:00:00",244395
"2019-02-06 00:00:00",249926
"2019-02-07 00:00:00",255778
"2019-02-08 00:00:00",288879
"2019-02-09 00:00:00",279731
"2019-02-10 00:00:00",129292
"2019-02-11 00:00:00",248105
"2019-02-12 00:00:00",247582
"2019-02-13 00:00:00",254885
"2019-02-14 00:00:00",279477
"2019-02-15 00:00:00",295459
"2019-02-16 00:00:00",282329
"2019-02-17 00:00:00",131414
"2019-02-18 00:00:00",240705
"2019-02-19 00:00:00",242538
"2019-02-20 00:00:00",249671
"2019-02-21 00:00:00",229352
"2019-02-22 00:00:00",298445
"2019-02-23 00:00:00",282524
"2019-02-24 00:00:00",133238
"2019-02-25 00:00:00",257276
"2019-02-26 00:00:00",255166
"2019-02-27 00:00:00",268453
"2019-02-28 00:00:00",284791
"2019-03-01 00:00:00",312371
"2019-03-02 00:00:00",286274
"2019-03-03 00:00:00",137850
"2019-03-04 00:00:00",260430
"2019-03-05 00:00:00",257248
"2019-03-06 00:00:00",257301
"2019-03-07 00:00:00",274313
"2019-03-08 00:00:00",298152
"2019-03-09 00:00:00",296927
"2019-03-10 00:00:00",139429
"2019-03-11 00:00:00",256455
"2019-03-12 00:00:00",257641
"2019-03-13 00:00:00",260586
"2019-03-14 00:00:00",273536
"2019-03-15 00:00:00",308297
"2019-03-16 00:00:00",289310
"2019-03-17 00:00:00",136274
"2019-03-18 00:00:00",257129
"2019-03-19 00:00:00",259078
"2019-03-20 00:00:00",258223
"2019-03-21 00:00:00",269043
"2019-03-22 00:00:00",305395
"2019-03-23 00:00:00",291018
"2019-03-24 00:00:00",137047
"2019-03-25 00:00:00",254933
"2019-03-26 00:00:00",258811
"2019-03-27 00:00:00",265114
"2019-03-28 00:00:00",282323
"2019-03-29 00:00:00",326323
"2019-03-30 00:00:00",312354
"2019-03-31 00:00:00",138828
"2019-04-01 00:00:00",265850
"2019-04-02 00:00:00",266543
"2019-04-03 00:00:00",260907
"2019-04-04 00:00:00",285939
"2019-04-05 00:00:00",314702
"2019-04-06 00:00:00",317104
"2019-04-07 00:00:00",150449
"2019-04-08 00:00:00",266746
"2019-04-09 00:00:00",253378
"2019-04-10 00:00:00",281356
"2019-04-11 00:00:00",289837
"2019-04-12 00:00:00",324409
"2019-04-13 00:00:00",300984
"2019-04-14 00:00:00",138101
"2019-04-15 00:00:00",260083
"2019-04-16 00:00:00",263717
"2019-04-17 00:00:00",266236
"2019-04-18 00:00:00",267828
"2019-04-19 00:00:00",116624
"2019-04-20 00:00:00",216711
"2019-04-21 00:00:00",119200
"2019-04-22 00:00:00",117618
"2019-04-23 00:00:00",313950
"2019-04-24 00:00:00",267115
"2019-04-25 00:00:00",278803
"2019-04-26 00:00:00",317283
"2019-04-27 00:00:00",310432
"2019-04-28 00:00:00",147047
"2019-04-29 00:00:00",272375
"2019-04-30 00:00:00",323355
"2019-05-01 00:00:00",165219
"2019-05-02 00:00:00",309580
"2019-05-03 00:00:00",291906
"2019-05-04 00:00:00",340528
"2019-05-05 00:00:00",166208
"2019-05-06 00:00:00",277504
"2019-05-07 00:00:00",273354
"2019-05-08 00:00:00",278602
"2019-05-09 00:00:00",293342
"2019-05-10 00:00:00",329075
"2019-05-11 00:00:00",314356
"2019-05-12 00:00:00",156907
"2019-05-13 00:00:00",277350
"2019-05-14 00:00:00",276899
"2019-05-15 00:00:00",279001
"2019-05-16 00:00:00",288793
"2019-05-17 00:00:00",297543
"2019-05-18 00:00:00",308404
"2019-05-19 00:00:00",146093
"2019-05-20 00:00:00",267974
"2019-05-21 00:00:00",272343
"2019-05-22 00:00:00",279986
"2019-05-23 00:00:00",288091
"2019-05-24 00:00:00",289512
"2019-05-25 00:00:00",312197
"2019-05-26 00:00:00",151842
"2019-05-27 00:00:00",277200
"2019-05-28 00:00:00",284312
"2019-05-29 00:00:00",298862
"2019-05-30 00:00:00",320131
"2019-05-31 00:00:00",360141
"2019-06-01 00:00:00",338376
"2019-06-02 00:00:00",163966
"2019-06-03 00:00:00",304733
"2019-06-04 00:00:00",305106
"2019-06-05 00:00:00",305776
"2019-06-06 00:00:00",314297
"2019-06-07 00:00:00",345513
"2019-06-08 00:00:00",317577
"2019-06-09 00:00:00",151600
"2019-06-10 00:00:00",150728
"2019-06-11 00:00:00",273973
"2019-06-12 00:00:00",310019
"2019-06-13 00:00:00",312720
"2019-06-14 00:00:00",339199
"2019-06-15 00:00:00",315601
"2019-06-16 00:00:00",155900
"2019-06-17 00:00:00",299375
"2019-06-18 00:00:00",300824
"2019-06-19 00:00:00",306758
"2019-06-20 00:00:00",314760
"2019-06-21 00:00:00",344159
"2019-06-22 00:00:00",303974
"2019-06-23 00:00:00",142860
"2019-06-24 00:00:00",119585
"2019-06-25 00:00:00",313035
"2019-06-26 00:00:00",310842
"2019-06-27 00:00:00",322364
"2019-06-28 00:00:00",362089
"2019-06-29 00:00:00",336355
"2019-06-30 00:00:00",196590
"2019-07-01 00:00:00",332889
"2019-07-02 00:00:00",326252
"2019-07-03 00:00:00",330014
"2019-07-04 00:00:00",332776
"2019-07-05 00:00:00",348401
"2019-07-06 00:00:00",306243
"2019-07-07 00:00:00",180499
"2019-07-08 00:00:00",296915
"2019-07-09 00:00:00",310765
"2019-07-10 00:00:00",318802
"2019-07-11 00:00:00",322852
"2019-07-12 00:00:00",336326
"2019-07-13 00:00:00",295354
"2019-07-14 00:00:00",150548
"2019-07-15 00:00:00",303153
"2019-07-16 00:00:00",302498
"2019-07-17 00:00:00",294276
"2019-07-18 00:00:00",314662
"2019-07-19 00:00:00",323744
"2019-07-20 00:00:00",280365
"2019-07-21 00:00:00",145521
"2019-07-22 00:00:00",290267
"2019-07-23 00:00:00",290754
"2019-07-24 00:00:00",293744
"2019-07-25 00:00:00",303337
"2019-07-26 00:00:00",314179
"2019-07-27 00:00:00",271472
"2019-07-28 00:00:00",145815
"2019-07-29 00:00:00",287508
"2019-07-30 00:00:00",293421
"2019-07-31 00:00:00",298502
"2019-08-01 00:00:00",294325
"2019-08-02 00:00:00",297530
"2019-08-03 00:00:00",254551
"2019-08-04 00:00:00",139849
"2019-08-05 00:00:00",252856
"2019-08-06 00:00:00",242074
"2019-08-07 00:00:00",244669
"2019-08-08 00:00:00",243219
"2019-08-09 00:00:00",250627
"2019-08-10 00:00:00",221454
"2019-08-11 00:00:00",128116
"2019-08-12 00:00:00",229357
"2019-08-13 00:00:00",217441
"2019-08-14 00:00:00",227484
"2019-08-15 00:00:00",134413
"2019-08-16 00:00:00",227472
"2019-08-17 00:00:00",198780
"2019-08-18 00:00:00",125495
"2019-08-19 00:00:00",217850
"2019-08-20 00:00:00",213418
"2019-08-21 00:00:00",208548
"2019-08-22 00:00:00",208822
"2019-08-23 00:00:00",219021
"2019-08-24 00:00:00",201309
"2019-08-25 00:00:00",125546
"2019-08-26 00:00:00",231356
"2019-08-27 00:00:00",223836
"2019-08-28 00:00:00",239828
"2019-08-29 00:00:00",247734
"2019-08-30 00:00:00",270812
"2019-08-31 00:00:00",246779
"2019-09-01 00:00:00",142117
"2019-09-02 00:00:00",279798
"2019-09-03 00:00:00",276202
"2019-09-04 00:00:00",277739
"2019-09-05 00:00:00",279903
"2019-09-06 00:00:00",306251
"2019-09-07 00:00:00",276768
"2019-09-08 00:00:00",135485
"2019-09-09 00:00:00",291482
"2019-09-10 00:00:00",285002
"2019-09-11 00:00:00",168195
"2019-09-12 00:00:00",319833
"2019-09-13 00:00:00",323983
"2019-09-14 00:00:00",305071
